SH600699	2014-01-02	2018-01-01
SH600699	2019-01-02	2026-09-03
SH600702	2014-01-02	2016-01-03
SH600703	2014-01-02	2022-02-06
SH600704	2014-01-02	2026-09-03
SH600705	2014-01-02	2024-01-01
SH600707	2019-07-01	2026-09-03
SH600711	2026-07-01	2026-09-03
SH600717	2014-01-02	2014-06-30
SH600717	2015-07-01	2023-04-02
SH600718	2014-01-02	2024-01-01
SH600720	2014-01-02	2018-01-01
SH600720	2025-01-02	2026-06-30
SH600723	2014-01-02	2015-01-04
SH600724	2014-01-02	2015-01-04
SH600728	2020-01-02	2023-07-02
SH600729	2014-01-02	2022-06-30
SH600732	2021-08-02	2023-04-02
SH600732	2023-07-03	2025-01-01
SH600733	2019-07-01	2022-06-30
SH600736	2014-01-02	2018-01-01
SH600737	2014-01-02	2016-01-03
SH600737	2016-07-01	2026-09-03
SH600739	2014-01-02	2026-06-30
SH600740	2014-01-02	2015-06-30
SH600741	2014-01-02	2026-09-03
SH600743	2014-01-02	2019-06-30
SH600745	2019-07-01	2025-06-30
SH600747	2014-01-02	2016-01-03
SH600748	2014-01-02	2021-08-01
SH600750	2014-01-02	2020-01-01
SH600751	2016-01-04	2021-01-03
SH600754	2014-01-02	2022-06-30
SH600754	2023-07-03	2026-09-03
SH600755	2014-01-02	2025-06-30
SH600757	2014-01-02	2021-01-03
SH600759	2014-01-02	2020-06-30
SH600760	2018-07-02	2026-09-03
SH600761	2014-01-02	2017-01-02
SH600763	2019-07-01	2020-06-30
SH600763	2021-01-04	2024-01-01
SH600763	2024-07-01	2026-09-03
SH600764	2021-04-01	2026-09-03
SH600765	2014-01-02	2026-09-03
SH600770	2014-01-02	2021-01-03
SH600773	2014-01-02	2019-06-30
SH600776	2014-01-02	2018-07-01
SH600776	2020-01-02	2022-06-30
SH600777	2018-07-02	2021-01-03
SH600779	2019-01-02	2022-02-06
SH600780	2014-01-02	2016-06-30
SH600782	2019-01-02	2024-01-01
SH600783	2014-01-02	2017-07-02
SH600787	2014-01-02	2023-07-02
SH600790	2014-01-02	2018-01-01
SH600795	2014-01-02	2026-09-03
SH600797	2014-01-02	2016-06-30
SH600801	2014-01-02	2026-09-03
SH600803	2014-07-01	2016-06-30
SH600803	2021-08-02	2022-06-30
SH600803	2023-04-03	2026-09-03
SH600804	2014-01-02	2022-02-06
SH600805	2014-01-02	2018-01-01
SH600808	2015-07-01	2026-09-03
SH600809	2014-01-02	2018-01-01
SH600809	2018-07-02	2026-09-03
SH600811	2014-01-02	2023-04-02
SH600812	2014-01-02	2017-01-02
SH600815	2014-01-02	2015-01-04
SH600816	2014-01-02	2020-06-30
SH600816	2024-07-01	2026-09-03
SH600820	2014-01-02	2015-06-30
SH600820	2016-01-04	2026-09-03
SH600823	2014-07-01	2017-07-02
SH600823	2018-01-02	2023-04-02
SH600825	2014-01-02	2017-07-02
SH600826	2014-01-02	2018-07-01
SH600827	2014-01-02	2025-01-01
SH600829	2014-01-02	2014-06-30
SH600830	2014-01-02	2015-06-30
SH600831	2014-01-02	2018-01-01
SH600832	2014-01-02	2015-05-31
SH600835	2014-01-02	2023-04-02
SH600837	2014-01-02	2025-03-31
SH600839	2014-01-02	2026-01-04
SH600841	2014-01-02	2014-06-30
SH600844	2014-01-02	2015-06-30
SH600845	2019-07-01	2026-09-03
SH600848	2017-03-01	2026-09-03
SH600850	2014-01-02	2017-07-02
SH600851	2014-01-02	2017-07-02
SH600858	2014-01-02	2015-01-04
SH600859	2014-01-02	2026-01-04
SH600862	2017-01-03	2026-09-03
SH600863	2014-01-02	2026-09-03
SH600864	2014-01-02	2017-07-02
SH600867	2014-07-01	2017-07-02
SH600867	2018-07-02	2026-01-04
SH600869	2014-01-02	2021-08-01
SH600871	2016-07-01	2018-07-01
SH600871	2021-01-04	2026-09-03
SH600872	2014-01-02	2020-01-01
SH600872	2021-01-04	2022-06-30
SH600872	2024-07-01	2026-01-04
SH600873	2014-01-02	2017-07-02
SH600873	2023-04-03	2026-09-03
SH600874	2014-01-02	2021-01-03
SH600875	2014-01-02	2017-07-02
SH600875	2018-01-02	2023-04-02
SH600875	2023-07-03	2026-09-03
SH600879	2014-01-02	2026-09-03
SH600880	2014-01-02	2018-07-01
SH600881	2014-01-02	2022-02-06
SH600884	2014-01-02	2022-06-30
SH600884	2023-04-03	2026-09-03
SH600885	2014-01-02	2016-06-30
SH600885	2018-01-02	2026-09-03
SH600886	2014-01-02	2026-09-03
SH600887	2014-01-02	2026-09-03
SH600888	2014-01-02	2015-01-04
SH600893	2014-01-02	2026-09-03
SH600894	2014-01-02	2018-07-01
SH600895	2014-01-02	2026-01-04
SH600900	2014-01-02	2026-09-03
SH600901	2019-01-02	2026-09-03
SH600903	2019-07-01	2022-06-30
SH600905	2022-02-07	2026-09-03
SH600906	2022-02-07	2026-09-03
SH600908	2018-01-02	2022-06-30
SH600909	2017-07-03	2026-09-03
SH600917	2015-07-01	2023-07-02
SH600918	2021-01-04	2026-09-03
SH600919	2017-07-03	2026-09-03
SH600925	2024-01-02	2026-01-04
SH600926	2017-07-03	2026-09-03
SH600927	2022-07-01	2026-09-03
SH600928	2020-01-02	2026-01-04
SH600930	2026-01-05	2026-09-03
SH600936	2017-07-03	2019-01-01
